host,ra,dec,id,period,color,mag,mag_err,offset,bias,phase,metallicity,flag,src
N4536-B,188.57747,2.19386,9491,19.79,1.1,24.2,0.24,0.52,0.06,0.06,8.69,,PSI
N4536-B,188.5776,2.19213,9935,42.81,1.05,23.59,0.19,0.35,0.04,-0.09,8.68,,PSI
N4536-B,188.57383,2.19405,12075,49.7,1.17,23.26,0.22,0.48,0.15,0.02,8.64,,PSI
N4536-C,188.58908,2.22122,3633,23.37,0.82,23.91,0.2,0.57,0.06,0.14,8.75,,PSI
N4536-G,188.57352,2.21987,6827,24.54,0.74,23.86,0.31,0.7,0.28,0.19,8.71,,PSI
N4536-G,188.57237,2.21633,5630,55.24,1.03,22.55,0.19,0.1,0.05,-0.09,8.72,,PSI
N4536-R,188.58741,2.20254,3571,20.98,0.78,24.02,0.39,0.95,0.29,0.07,8.89,,PSI
N4536-R,188.58842,2.20411,2692,31.59,1.09,23.71,0.2,0.57,0.2,-0.04,8.9,,PSI
N4536-R,188.59047,2.20005,6914,34.63,1.22,22.72,0.22,0.37,0.13,-0.03,8.92,rej,PSI
N4536-R,188.59103,2.20274,4786,37.45,0.93,23.67,0.22,0.46,0.13,-0.03,8.93,,PSI
N4536-B,188.57908,2.19151,9023,19.9,0.51,24.4,0.3,0.72,0.22,0.04,8.69,,1m
N4536-C,188.58946,2.2201,3607,80.17,0.69,22.79,0.25,0.34,0.03,0.01,8.76,,1m
N4536-G,188.57149,2.21837,6582,38.84,1.43,23.57,0.2,0.24,0.05,0,8.7,,1m
N4536-R,188.58811,2.1998,6233,25.3,0.64,23.31,0.23,0.65,0.25,0.09,8.89,,1m
N4536-B,188.57932,2.1998,13,18.54,0.72,24.56,0.38,0.6,0.16,0,8.71,,ps
N4536-R,188.58854,2.192987,5,30.25,1.14,23.64,0.22,0.52,0.15,0,8.89,,ps
N4639-B,190.72103,13.24735,11893,26.59,1.09,25.83,0.47,1.15,0.29,0.06,8.98,rej,PSI
N4639-B,190.72412,13.24921,8651,27.54,0.91,24.58,0.54,0.74,0.44,0.08,9.05,,PSI
N4639-B,190.71891,13.25026,16601,42.2,1.18,23.54,0.56,0.54,0.18,0.01,9.09,,PSI
N4639-B,190.72047,13.24661,12394,54.82,1.06,24.1,0.47,2.69,0.53,0.05,8.95,,PSI
